,ENSG00000168484.8_3
GTEX-SIU8,99.04250367089718
GTEX-SN8G,99.2185291226777
GTEX-SNOS,99.72342340507866
GTEX-SUCS,99.49660162258776
GTEX-T2IS,98.98897737200708
GTEX-T5JC,97.7017715998615
GTEX-T6MN,97.93376916495873
GTEX-T6MO,98.57259618671995
GTEX-T8EM,97.69351224230245
GTEX-TML8,99.21884960802961
GTEX-TMMY,98.7388381021098
GTEX-U3ZH,99.43562550882105
GTEX-U3ZM,98.63241328324628
GTEX-U3ZN,98.74206506046082
GTEX-U412,97.52779457086727
GTEX-U8T8,91.76257722516313
GTEX-U8XE,99.28894420972013
GTEX-UJHI,98.70616115041919
GTEX-UJMC,98.6019612616112
GTEX-UPIC,98.57290967678087
GTEX-UPJH,99.46328514768832
GTEX-UPK5,99.23921785985648
GTEX-V1D1,96.49842504265834
GTEX-VJYA,99.2519809080996
GTEX-VUSG,98.75416893967467
GTEX-W5X1,98.83319780596324
GTEX-WFG7,99.18853576680098
GTEX-WFG8,99.14827464719562
GTEX-WFJO,99.2413090345843
GTEX-WFON,98.42167678259048
GTEX-WH7G,98.46613643725769
GTEX-WHPG,98.95958918647345
GTEX-WHSB,98.63645568612847
GTEX-WK11,98.13809900863203
GTEX-WOFM,99.20452012517627
GTEX-WRHU,99.27881201961175
GTEX-WVJS,99.47401185301973
GTEX-WWYW,98.31254508652277
GTEX-WY7C,99.09513647725515
GTEX-WYBS,98.87042957795616
GTEX-WYJK,98.67073826765949
GTEX-WYVS,98.83347611260722
GTEX-WZTO,99.38062091208931
GTEX-X3Y1,98.65881376513028
GTEX-X4EO,97.22549064749586
GTEX-X4EP,99.09818889092027
GTEX-X4LF,98.29985965898035
GTEX-X4XX,98.26957745973
GTEX-X585,97.91267045351887
GTEX-X5EB,98.1627396756755
GTEX-XBEC,98.06877739223802
GTEX-XBED,98.70775931137746
GTEX-XBEW,98.9328683811498
GTEX-XGQ4,99.18963099934675
GTEX-XMD2,98.6606303576815
GTEX-XOT4,99.36099836348248
GTEX-XPVG,98.54414402035118
GTEX-XQ3S,99.19356012559322
GTEX-XQ8I,99.58867727291634
GTEX-XUJ4,98.82208543280665
GTEX-XV7Q,99.8189494105625
GTEX-XXEK,99.44475964725314
GTEX-XYKS,99.40050281381423
GTEX-Y111,98.2532938679407
GTEX-Y3I4,98.62311101496822
GTEX-Y3IK,99.71548799408953
GTEX-Y5LM,96.92039038198116
GTEX-Y5V5,99.44733348261343
GTEX-Y5V6,98.84844293854708
GTEX-Y8E4,99.14670444708351
GTEX-Y8LW,98.98239404686304
GTEX-Y9LG,99.37055574399179
GTEX-YB5E,98.66093948322566
GTEX-YEC3,99.03270008777368
GTEX-YEC4,98.83211478604575
GTEX-YECK,99.59773182808942
GTEX-YF7O,98.73947859069145
GTEX-YFCO,99.3790477890769
GTEX-YJ8O,95.61154343994191
GTEX-ZA64,97.37181730394661
GTEX-ZAB4,97.73277465035467
GTEX-ZAB5,99.65022010328795
GTEX-ZC5H,99.72940275399932
GTEX-ZDTS,98.70419986790289
GTEX-ZDTT,99.33854547640023
GTEX-ZDXO,98.29588611340112
GTEX-ZDYS,98.87708867101541
GTEX-ZEX8,98.74380003139746
GTEX-ZF28,99.15041127720198
GTEX-ZF29,98.7331229899801
GTEX-ZF2S,99.61916186728111
GTEX-ZG7Y,99.73381277657046
GTEX-ZLV1,99.0229233612517
GTEX-ZLWG,98.85445166337118
GTEX-ZPIC,99.01596935188444
GTEX-ZPU1,97.8147992531301
GTEX-ZQG8,99.41080794958307
GTEX-ZT9W,98.01925021056708
GTEX-ZT9X,99.07756623059402
GTEX-ZTPG,99.20534788577659
GTEX-ZTTD,98.68567046657925
GTEX-ZUA1,98.30935418494221
GTEX-ZVT3,99.4018471093905
GTEX-ZY6K,98.18228809428747
GTEX-ZYFG,98.87571670714134
GTEX-ZYT6,99.36011302907045
GTEX-ZYWO,99.40901524838763
GTEX-ZYY3,99.7767864690382
GTEX-ZZPU,98.87823385182092
