,ENSG00000114416.13_20,ENSG00000114416.13_21,ENSG00000114416.13_3,ENSG00000114416.13_4,ENSG00000114416.13_5,ENSG00000114416.13_6,ENSG00000114416.13_7
GTEX-111CU,4.143291772652211,46.91628580365011,10.851287663114348,0.0,0.0,100.0,100.0
GTEX-111FC,6.9014534841918,40.67125672556543,40.60823849868149,0.8866408806902707,0.9758333879101448,98.98794552942474,96.24835576085816
GTEX-111VG,16.68289883896326,47.66484848865058,16.881347702350926,0.0,0.0,99.13975783757265,99.1078908704562
GTEX-111YS,6.726999655153638,42.039312969449725,6.001463364642346,0.0,0.0,100.0,100.0
GTEX-1122O,5.5130790439238195,47.727548331313876,12.753418880707468,0.9887193098871929,0.0,100.0,100.0
GTEX-1128S,2.546364626307679,48.23415089723533,12.43413066933837,0.0,0.0,100.0,100.0
GTEX-117YW,5.859416939196834,42.72653971833718,15.362304464891189,0.0,0.0,100.0,100.0
GTEX-117YX,3.1967651500142176,51.523031957632426,8.78637341823485,0.0,0.5171097383216492,100.0,100.0
GTEX-11DXX,9.026932805639937,52.23033232744536,19.719882641215865,0.0,0.0,100.0,100.0
GTEX-11DXZ,5.42112184137388,46.902492072700134,3.14958340569284,0.0,0.0,100.0,100.0
GTEX-11DZ1,6.826007696981973,52.63754132451995,2.829258434252693,0.0,0.6618104290663588,100.0,100.0
GTEX-11EI6,5.439363168844609,31.4887027042498,11.86467443487096,0.0,0.0,98.00163529547355,98.19415709495613
GTEX-11EMC,9.539924997713346,32.50563063799938,12.249588101625076,0.0,0.0,100.0,100.0
GTEX-11EQ9,3.716680486041661,45.79237683621045,4.336858445716503,0.0,0.0,100.0,100.0
GTEX-11GSP,16.531679592033466,55.06103560346218,20.11387730020056,0.0,0.0,100.0,100.0
GTEX-11I78,5.783027041967723,50.598894453820556,12.75651458095728,0.0,0.0,100.0,100.0
GTEX-11ILO,6.662910291038469,60.06327012913286,33.8851958457853,0.0,0.0,100.0,100.0
GTEX-11LCK,2.9366731938237156,40.95294032374477,7.122499218999237,0.0,0.0,97.53435184945583,98.16716510222014
GTEX-11NSD,8.290858434205607,55.88089772007599,6.940634542725532,0.0,0.7336648776404551,100.0,100.0
GTEX-11NUK,7.366954589861918,36.385077849390896,8.08460595224721,0.0,0.0,100.0,100.0
GTEX-11NV4,8.695013556805597,30.15081732238652,9.140454482026872,0.0,0.0,100.0,98.60514855167925
GTEX-11O72,13.213792841797758,61.768610041222146,16.128872325833132,0.0,0.0,100.0,96.59090526476461
GTEX-11OF3,4.178317499894627,34.516822819217005,15.853942875103536,0.0,0.8375962673562314,98.99678275181498,99.15222483416053
GTEX-11P7K,4.709080706180982,41.04162513817661,10.5771426734021,0.0,0.0,100.0,98.89776773017716
GTEX-11P81,5.192668732692041,63.00992061905942,5.15292725802743,0.0,0.0,99.43191741091579,99.46570966399293
GTEX-11PRG,4.315254036600216,42.46831025585364,7.34044002809136,0.0,0.0,100.0,100.0
GTEX-11TT1,2.6704635972598374,47.86665590443135,7.325467059980334,0.0,0.0,99.3679866463713,99.48811424447453
GTEX-11TUW,11.655902716540417,26.25265065396744,6.607038114936982,0.0,1.661277734418553,100.0,100.0
GTEX-11UD2,6.782772140560067,21.660346632050356,18.59442329248659,1.624686511830771,0.0,100.0,100.0
GTEX-11WQC,4.220769505449018,39.67398471880425,8.244877369088321,0.6184625601859538,0.0,100.0,97.73890458146319
GTEX-11WQK,5.553495177327659,29.403702358978805,18.36330271244598,0.0,1.5271870035361041,99.17948318001449,98.20498946447006
GTEX-11ZTS,11.424931455295578,33.40830476746426,9.064210945858068,0.0,0.9189589243863329,99.06629145758374,99.15595429093041
GTEX-11ZTT,8.588401482614843,53.370285039761846,10.559287921308501,1.303986347525489,0.0,100.0,100.0
GTEX-11ZUS,11.146075150050748,53.940460496013465,18.47280229922067,1.1787042164385728,0.0,100.0,100.0
GTEX-1211K,6.373987625083581,44.12555810141371,3.9616288773234984,0.0,0.0,100.0,100.0
GTEX-1212Z,3.849646340769737,34.73919809191046,5.770413111137305,0.0,1.088067766905214,100.0,96.07358077314912
GTEX-12584,6.308672804950456,34.9312055156121,17.00768365482774,0.5928460589662992,0.6526786105392264,98.44352040240392,97.68870136404666
GTEX-12696,14.430601878776587,45.0355283889914,2.910464799146854,0.0,0.0,100.0,100.0
GTEX-1269C,8.024997837429868,25.63476501181355,13.435775828509128,0.5474921918059893,1.1983271674441047,98.837310030417,99.00735638785568
GTEX-12BJ1,5.216837980498875,34.18177845750491,12.237475067464507,0.0,0.0,100.0,98.60011994034092
GTEX-12KS4,5.830238471865772,59.236199111266984,8.177842767781602,0.0,0.0,100.0,100.0
GTEX-12WSA,7.538360674807455,42.68776922909236,12.267797358187035,1.3662204291215845,0.0,100.0,100.0
GTEX-12WSD,9.891281872694229,56.54706680769161,18.642715049972544,0.0,0.0,100.0,100.0
GTEX-12WSE,7.334696819638889,52.48339902836718,15.921281357811615,0.7348951911220715,0.8089472826972149,98.98771882437072,99.0951705566265
GTEX-12WSG,12.367140591346235,48.55917380124002,10.107957411733794,1.0890220727963746,0.0,100.0,100.0
GTEX-12WSH,10.62112229942098,41.518620365054204,6.408466527947995,0.0,0.0,97.50050010620812,97.68739037706958
GTEX-12WSI,9.02148253317947,32.01218108902262,8.257106694489105,0.6011458081174856,0.0,100.0,100.0
GTEX-12WSJ,6.032533201940662,41.80849565840838,8.934351457419812,0.0,0.0,100.0,98.26642853244614
GTEX-12WSK,5.893263867104921,50.07412082880207,7.728753014657519,0.0,0.0,100.0,100.0
