,ENSG00000164867.6_15
GTEX-S4Z8,10.478379444606439
GTEX-SE5C,46.7884670282615
GTEX-SIU7,9.018137800425622
GTEX-SN8G,23.652621565107008
GTEX-SNOS,5.306157284237489
GTEX-SUCS,24.227642276422763
GTEX-T2IS,13.871008849282049
GTEX-T5JC,18.20313706767023
GTEX-T6MN,25.406270661516512
GTEX-T6MO,8.471597663720475
GTEX-T8EM,36.260558282777865
GTEX-TML8,14.535450891637728
GTEX-TMMY,46.90732467843972
GTEX-U3ZH,32.705637707948235
GTEX-U3ZM,25.649745979762358
GTEX-U3ZN,24.79701447375057
GTEX-U412,27.1685334722584
GTEX-U8XE,8.600312697887889
GTEX-UJHI,28.071728521166722
GTEX-UJMC,9.50898063088439
GTEX-UPIC,17.98250025143317
GTEX-UPJH,19.60637850189452
GTEX-UPK5,40.7968808183471
GTEX-V1D1,12.92625959292626
GTEX-VJYA,27.369885889229057
GTEX-VUSG,7.960303712218103
GTEX-WFG7,8.752692383003719
GTEX-WFON,10.123391851316105
GTEX-WH7G,8.096033486949347
GTEX-WHPG,16.19717364755143
GTEX-WHSB,9.94694494220161
GTEX-WK11,31.198324922151826
GTEX-WOFM,14.955744137238803
GTEX-WVJS,8.217127550618452
GTEX-WWYW,20.86399523312975
GTEX-WY7C,19.81228001564333
GTEX-WYBS,7.3296840166207895
GTEX-WYJK,18.670008055132907
GTEX-WYVS,15.814195063568413
GTEX-WZTO,45.308082155241394
GTEX-X261,13.9482694502507
GTEX-X3Y1,16.29385006376756
GTEX-X4EO,18.660516750086185
GTEX-X4EP,8.157232015766997
GTEX-X4LF,29.289236817601815
GTEX-X4XX,6.855083976200279
GTEX-X4XY,25.86057275094012
GTEX-X585,8.318932284050728
GTEX-X5EB,21.977277257325095
GTEX-XBEC,37.20423288811383
GTEX-XBED,31.88912668998277
GTEX-XMD2,62.53107334537926
GTEX-XOT4,62.21672680098918
GTEX-XPVG,12.94638978190981
GTEX-XQ3S,19.34227607096495
GTEX-XQ8I,43.16206738832139
GTEX-XV7Q,17.950143638217032
GTEX-XXEK,19.987122390942748
GTEX-XYKS,33.71694575547941
GTEX-Y111,17.001085353296418
GTEX-Y3IK,29.267857142857146
GTEX-Y5LM,12.578557358596756
GTEX-Y5V5,24.227642276422763
GTEX-Y5V6,6.994457506702821
GTEX-Y8E4,12.536816845520773
GTEX-Y9LG,19.46729422155437
GTEX-YB5E,31.800719556070494
GTEX-YEC3,17.507340917288275
GTEX-YECK,56.12052730696798
GTEX-YF7O,33.9995278936187
GTEX-YFC4,57.54580387384779
GTEX-YFCO,13.263737153030672
GTEX-YJ8O,36.42203399465637
GTEX-ZA64,12.051765974656243
GTEX-ZAB4,8.530301791118019
GTEX-ZAB5,15.374138429155146
GTEX-ZC5H,5.243811832792399
GTEX-ZDTS,59.3107167621151
GTEX-ZDTT,15.547256851007743
GTEX-ZDXO,51.459082755976794
GTEX-ZE7O,41.594029510624964
GTEX-ZEX8,8.75269238300372
GTEX-ZF28,4.964375869260803
GTEX-ZF29,19.11193818543574
GTEX-ZF2S,24.227642276422763
GTEX-ZG7Y,16.96282730287581
GTEX-ZLV1,16.63826764463307
GTEX-ZLWG,7.039739618877632
GTEX-ZPIC,18.18434857081683
GTEX-ZPU1,16.987316517030067
GTEX-ZT9W,21.077707349293096
GTEX-ZT9X,13.783533765032377
GTEX-ZTPG,1.5578341891136367
GTEX-ZTTD,15.489557379957144
GTEX-ZUA1,44.638429752066116
GTEX-ZVT3,25.272149751750085
GTEX-ZVZQ,41.09400137899334
GTEX-ZXG5,6.967625899280576
GTEX-ZY6K,12.169378651755986
GTEX-ZYT6,21.673077544687587
GTEX-ZYVF,25.86057275094012
GTEX-ZYW4,34.28338157797076
GTEX-ZYWO,10.706586826347305
GTEX-ZYY3,24.79701447375057
GTEX-ZZPT,8.61207237801365
GTEX-ZZPU,22.703944496425848
