,ENSG00000001626.10_13
GTEX-WRHU,91.7651449185222
GTEX-WWYW,100.0
GTEX-WY7C,100.0
GTEX-WYBS,100.0
GTEX-WYJK,83.95346018664404
GTEX-WYVS,100.0
GTEX-WZTO,100.0
GTEX-X3Y1,100.0
GTEX-X4EO,0.0
GTEX-X4LF,69.44380336948996
GTEX-X4XX,100.0
GTEX-X4XY,0.0
GTEX-X5EB,100.0
GTEX-XBEC,60.571768910065515
GTEX-XBED,100.0
GTEX-XBEW,100.0
GTEX-XGQ4,52.367247085911636
GTEX-XOT4,100.0
GTEX-XPVG,83.80031812064112
GTEX-XQ3S,84.94941457314994
GTEX-XQ8I,100.0
GTEX-XUJ4,100.0
GTEX-XV7Q,100.0
GTEX-XXEK,100.0
GTEX-XYKS,100.0
GTEX-Y111,0.0
GTEX-Y3I4,100.0
GTEX-Y3IK,100.0
GTEX-Y5LM,100.0
GTEX-Y5V5,100.0
GTEX-Y5V6,100.0
GTEX-Y8E4,100.0
GTEX-Y8LW,90.12971522290145
GTEX-Y9LG,83.63816114681167
GTEX-YB5E,100.0
GTEX-YEC3,100.0
GTEX-YEC4,100.0
GTEX-YECK,100.0
GTEX-YF7O,100.0
GTEX-YFCO,100.0
GTEX-ZA64,85.65857885615252
GTEX-ZAB4,100.0
GTEX-ZAB5,100.0
GTEX-ZC5H,70.81772096098744
GTEX-ZDTS,100.0
GTEX-ZDTT,100.0
GTEX-ZDYS,100.0
GTEX-ZE7O,100.0
GTEX-ZEX8,84.38495105554901
GTEX-ZF29,86.65591614593832
GTEX-ZF2S,100.0
GTEX-ZG7Y,81.78817056396149
GTEX-ZLV1,85.91489361702128
GTEX-ZLWG,100.0
GTEX-ZPIC,86.3081695966908
GTEX-ZPU1,100.0
GTEX-ZQG8,74.53846153846153
GTEX-ZT9W,100.0
GTEX-ZT9X,100.0
GTEX-ZTPG,92.76897870016384
GTEX-ZTTD,0.0
GTEX-ZUA1,77.54409769335142
GTEX-ZVT3,100.0
GTEX-ZVZQ,0.0
GTEX-ZXG5,0.0
GTEX-ZY6K,100.0
GTEX-ZYFG,83.91251518833536
GTEX-ZYT6,64.44683136412459
GTEX-ZYVF,0.0
GTEX-ZYWO,100.0
GTEX-ZYY3,60.0
GTEX-ZZPU,100.0
